sn,sample,set_time,gut,storage,cq,log,dna_amt,dna_c_n,log_dna_c_n
125,10h.17,10,Empty,Ethanol only,33.91295881,-10.28005467,5.82E-11,0.570860026,-0.243470367
126,10h.18,10,Partially full,Ethanol only,23.51631048,-6.063715825,9.18E-07,9004.61154,3.954464982
127,24h.01,24,Empty,Ethanol + Freeze,16.62114593,NA,NA,NA,NA
128,24h.02,24,Empty,Ethanol + Freeze,40.02765467,-12.75985671,1.98E-13,0.001938882,-2.712448548
129,24h.03,24,Empty,Ethanol + Freeze,35.46415012,-10.90913704,1.38E-11,0.134956276,-0.869806914
130,24h.04,24,Empty,Ethanol + Freeze,3.043180805,NA,NA,NA,NA
131,24h.05,24,Full,Ethanol + Freeze,22.24481847,-5.548064916,2.99E-06,29367.37809,4.467865175
132,24h.06,24,Empty,Ethanol + Freeze,31.26095213,-9.204538944,6.85E-10,6.7197164,0.827350944
133,24h.07,24,Empty,Ethanol + Freeze,31.27852396,-9.211665164,6.74E-10,6.610827553,0.820255828
134,24h.08,24,Empty,Ethanol + Freeze,22.70177328,-5.733381977,1.96E-06,19202.46518,4.283356986
135,24h.09,24,Partially full,Ethanol + Freeze,31.34244626,-9.237588717,6.35E-10,6.229388655,0.794445428
136,24h.10,24,Empty (with specks),Ethanol + Freeze,31.0345618,-9.112726823,8.45E-10,8.293967378,0.918762323
137,24h.11,24,Full,Ethanol + Freeze,25.28397642,-6.780589025,1.77E-07,1740.68743,3.240720793
138,24h.12,24,Empty,Ethanol only,33.08758332,-9.94532538,1.25E-10,1.229696388,0.089797897
139,24h.13,24,Empty,Ethanol only,7.477732743,NA,NA,NA,NA
140,24h.14,24,Empty,Ethanol only,6.937561704,NA,NA,NA,NA
141,24h.15,24,Empty,Ethanol only,NaN,NA,NA,NA,NA
142,24h.16,24,Empty,Ethanol only,NaN,NA,NA,NA,NA
143,24h.17,24,Empty,Ethanol only,33.65366977,-10.17490055,7.40E-11,0.726481871,-0.138775219
144,24h.18,24,Full,Ethanol only,25.45605553,-6.850375348,1.51E-07,1483.334419,3.171239074
145,24h.19,24,Partially full,Ethanol only,26.73158283,-7.36766276,4.62E-08,453.1161292,2.656209522
146,24h.20,24,Empty (with specks),Ethanol only,31.05587998,-9.121372367,8.29E-10,8.131197601,0.910154515
147,24h.21,24,Empty,Ethanol only,37.42672789,-11.70505633,2.22E-12,0.021764457,-1.662252166
